Patio_Lawn_and_Garde plants:1375.2459845466976 lawn:1202.315270475095 seeds:1025.23041826743 yard:970.6544432294293 garden:863.0908397719647 seed:816.1940705756133 feeder:787.3686670546093 plant:707.467245647197 gas:678.5602454785391 grass:622.2926746357932 smoker:601.8425385283906 pool:598.85129604927 watering:555.7509358946593 traps:542.7114624464259 mow:524.146963497017 soil:518.128170358582 blower:517.098196188268 germinated:469.8647371842539 bbq:449.28980232429427 hose:433.25185794778685 hummingbirds:412.3722233646236 weber:411.1216211724551 sprinkler:401.0336993812959 sprinklers:391.548980207746 patio:390.64561842125283 weeds:389.2512848626314 planted:365.89515043792846 burners:362.5741200371192 acre:351.20300180963704 trap:329.8751152001175 feeders:326.7378276689613 bait:313.3229213173751 squirrels:313.3229213173751 bilt:313.2352103103875 landscaper:313.2352103103875 pruner:313.2352103103875 grills:307.3898085175479 sprouted:305.3323719264553 hammock:291.91253265969397 weed:289.08581671383405 fertilizer:276.8348409896445 roaches:276.8348409896445 bugs:273.07436214257604 mice:253.6493675691386 germination:248.993800123937 mulch:248.993800123937 grilling:242.39529063326958 geraniums:234.9234274165532 husqvarna:234.9234274165532 hydroponics:234.9234274165532 intex:234.9234274165532 poulan:234.9234274165532 soils:234.9234274165532 suet:234.9234274165532 sprout:232.04528837899844 bushes:228.98765712320684 driveway:214.5512561228349 coals:213.11600437448274 squirrel:210.46544735109296 sprayer:207.64242922860296 trimmer:204.63686829941642 leaf:203.25541117099732 birds:202.30599624859016 bird:194.3341936964004 hummingbird:190.818205545615 sunflower:190.818205545615 ants:182.9011471269395 planting:180.83496103644538 mowed:175.58590614058602 mowers:175.58590614058602 potted:175.58590614058602 tiller:175.58590614058602 edger:174.69792249474318 flowering:174.69792249474318 compost:157.37783101418356
Kindle_Store author:1074.7320723109124 characters:960.5291456232338 series:661.8729417579043 reading:621.1134697742586 romance:508.26248191337993 enjoyed:469.5786131462692 kindle:456.8519096217199 short:453.82970413906514 stories:433.2938596025042 novella:370.0581697678212 written:330.97522562208906 wait:296.36485625445425 ebook:273.7687881591714 plot:244.93825550358505 forward:239.5291088387165 character:225.63796141440855 loved:209.99618363223314 writing:196.1012847748563 sex:194.81148634716055 steamy:177.49393464946405 errors:169.65178984326923 bought:164.28282701867542 erotic:162.87531403067482 quality:156.47978392203808 ending:151.0661533141455 relationship:150.69231046549942 price:142.9659259211128 sexy:126.71468541524146 interesting:126.3562860138009 developed:124.13567595749701 reader:119.93941564330846 fit:117.76356280122171 alpha:115.75398671705032 wanting:115.16930787499457 heroine:114.10272610447811 believable:112.85310349697495 finds:111.36082110774161 sweet:109.60770649163125 mystery:109.56863563023164 erotica:105.84577528304924 honest:105.18237670080889 woman:104.7570579966832 works:103.98076648611689 fiction:100.24521754363077 buy:98.71755839912821 tale:96.76371588805972 authors:96.04406818252768 size:94.63227578232842 end:93.99617990188682 felt:93.30941219387512 music:93.2061928601031 twist:87.42899892915219 chemistry:84.9625129774187 paranormal:83.69721920919791 storyline:83.6303411719575 hea:82.32335289110536 shifter:81.98469789059976 feelings:81.10337841898735 ms:79.27264020452716 cliffhanger:78.63536648782981 scenes:78.14001910649054 editing:77.54022122575499 reads:76.69691023566261 suspense:75.8417297326172 ordered:74.96267341346619 adventure:74.61621738287502 intriguing:74.26405766621288 devlin:73.91918656423677 nage:73.91918656423677 paced:73.60965621419852 intrigue:71.66440411295622 sound:71.54419478401559 berserker:70.78958951949025 powerfast:70.78958951949025 entertaining:70.78915441889174
Clothing_Shoes_and_Jewelry comfortable:4674.489581798549 shoe:4043.1706227749673 size:3312.6667436434113 fit:2736.725184295362 pair:2384.965057039019 shirt:2218.51636616729 boots:2009.972658452664 wearing:1675.0742166084667 dress:1477.375317634324 worn:1405.344418443856 earrings:1392.1844897121102 jeans:1152.0687642727996 sandals:1125.862833839167 feet:1118.9163367636852 bra:987.8388925595391 bracelet:986.6290609532331 wore:979.465812455821 socks:978.7634666608237 cute:915.3425674779378 necklace:882.9290583842892 compliments:855.4156112637722 costume:851.0179324641131 heel:849.2096113417068 sizing:815.6676604430357 leather:792.7839946947857 pants:785.6730397486165 watches:747.1811214876118 sole:729.3774265974947 fabric:723.457121962488 color:712.5533497874617 comfy:669.6092212105351 toe:660.0322494753542 waist:642.0266849784422 slippers:596.9557682971251 ordered:576.5983770127475 shirts:561.4136837886568 fits:553.4301021778658 foot:542.6941317909956 jewelry:542.6099780594064 ring:523.8406709718829 pairs:506.2185125271157 wears:487.3114904708064 leggings:455.25638812681035 sizes:447.7840928208262 sandal:442.3889335890386 tight:437.21570544377437 jacket:419.23832837227894 watch:418.9101637574705 soles:418.3158864280437 arch:417.68397129917474 quality:413.406532453939 boot:404.6281349069668 casual:404.5167882456483 flattering:395.12714286874495 colors:388.5659750113653 soft:383.90763283306234 warm:378.60306016365297 sneakers:376.35580917519815 stylish:375.4681679961623 pendant:342.85938503471453 outfit:342.389985434199 characters:336.23780399248386 material:334.47891914910105 reading:330.6719985442559 bras:325.05098337258084 nice:311.7722188477893 narrow:307.01748516267037 sweater:306.6886973880941 cotton:305.54136345103586 clasp:305.31210216331846 wrist:302.7633883059208 footbed:292.4561772751939 dressy:290.6615793975923 skirt:287.87345809075975 hat:286.41124908562375
Electronic cable:3380.4712263941155 computer:2636.523561812101 usb:2551.6549851581085 screen:1913.2002209913562 works:1800.79675175941 tv:1794.473282770537 sound:1725.1478442236953 ipod:1662.2492364190578 hdmi:1656.044116046938 speakers:1646.588445808232 device:1607.4745635252355 keyboard:1606.4562569567552 ipad:1593.6924566903594 adapter:1572.2247525904493 headphones:1485.1412169462176 battery:1462.2082352080863 plug:1399.2440823181378 drive:1296.1422013728115 wireless:1292.6900872344752 tablet:1283.3889354495338 card:1257.536957244357 pc:1202.038274757381 cables:1201.8090792202372 sony:1191.043785020085 hd:1135.0032385544873 lens:1134.3431895766353 plugged:1121.2569487473188 software:1065.5936475957424 port:1045.0656975226198 router:1025.796207229896 windows:1002.9481331090307 remote:1000.8451853029336 price:991.065678949735 unit:973.533904831511 signal:872.1829970084613 canon:868.9540930773559 external:860.9928173517081 player:859.1124823894821 speaker:853.4733461298288 setup:846.7772440481355 mouse:845.0367462805797 audio:837.7800414961101 cord:825.0122678801542 nikon:817.5327258419268 apple:790.5107559437594 sd:783.1124897870309 quality:754.1275596720944 lcd:738.1401620915813 devices:736.1017747262923 cameras:702.0813653147151 desktop:701.225085041882 receiver:676.9282318406248 charger:664.5325396645464 video:651.7498010184105 mac:640.0884156018349 logitech:639.159246230688 antenna:633.0939682739787 gps:630.9123003374875 ports:601.6185011226704 installed:591.104869379316 charge:579.2363134609012 worked:569.1543821236454 asus:565.5681092950884 macbook:555.5547563785545 connect:555.2992625581886 flash:555.2025600584492 monitor:552.9551185079396 zoom:548.7096349806129 power:543.9179660262125 files:536.6152960905599 portable:536.5973189580163 bluetooth:529.4762609851883 mode:510.5994497970935 system:505.2958569203431 toshiba:505.27384015636807
Home_and_Kitche vacuum:1262.155791848174 oven:1200.2937051549002 clean:1112.0966850837156 dishwasher:1108.671481464873 lid:1107.8661224189168 pan:1024.5734691658631 pot:890.0050668792478 maker:814.365538919735 pans:804.2115566671954 cup:769.7672004046178 mattress:724.4437654556875 water:648.9004645639343 toaster:634.1770016800713 cups:632.0968715036952 sheets:628.0395992031229 comforter:594.3874030856925 pillow:577.8261585866022 microwave:563.2653594721005 mug:560.786644026102 counter:545.249566172196 cook:542.3642861759516 cooking:540.1150810859134 machine:528.7565625938543 cooker:521.0213324621656 cookware:499.9742541319675 cuisinart:472.1742461419119 poster:470.2315288050048 bed:468.0698239021557 brew:445.96788754967946 filter:429.6085933116842 stainless:420.0662798086029 brewing:406.16158066718316 cooks:404.2556973341889 pots:397.34788089297257 grinder:394.7961090901147 bowl:392.93499894942096 bread:390.2488778020375 juicer:384.8127077069639 steam:384.6664001969193 glass:384.48607199732584 heats:373.90508848797487 kettle:369.0799086514637 stove:366.1513140377696 heat:364.0165321535776 rack:356.8365473007456 espresso:355.5373634917557 lids:343.6376802126515 heating:343.00123096427 grind:340.39797195169257 cleaning:331.77201837335525 steamer:331.1143931534221 pitcher:325.49533981399867 baking:315.9119584007049 blender:315.50696970270855 carafe:315.1994202986563 dyson:315.10447732406413 knives:314.8655504273591 filters:303.7416621674747 coffeemaker:299.7716897799102 mugs:299.7716897799102 drip:297.1054296640948 pillows:295.36243005115364 heater:290.28105636074935 carpet:289.3072289732264 suction:284.62974910784504 thermometer:277.8465419983879 temperature:275.703436253613 pour:273.00073808836123 bowls:272.6324617891035 handle:271.7872362878796 timer:269.0966026063619 bottom:268.6327272948177 curtain:268.14878690152506 dough:266.30020869328354 room:263.1261148297657
Cell_Phones_and_Accessorie iphone:4056.6508315665305 screen:2078.723763024456 protector:2013.2311534472512 galaxy:1707.0058604736223 charger:1478.3803914321193 otterbox:1443.8732172993973 dropped:1350.9225622777612 charge:1308.5684482520037 battery:1093.3804591018752 protects:1061.5945645543875 samsung:1034.3820219626052 protection:986.178675939542 cases:951.4596108478107 phones:933.7000908116167 fits:868.2795825206535 charging:813.5678277545001 headset:809.3887982182339 htc:754.6985493707166 bluetooth:639.3986163010682 cell:615.7355397388197 verizon:594.9046020898189 nokia:591.2291981721344 buttons:589.1162132190558 otter:545.5992010226344 protectors:533.9857060127321 blackberry:503.8764577234719 bubbles:456.3698602320777 pocket:451.82194674650646 cover:447.65373434156925 droid:437.4460947284642 protective:419.9379789225969 motorola:413.7474451046341 protected:378.3357153540937 fit:376.61079361296316 protect:374.17739525012473 headsets:361.84488679162337 stylus:358.3986048112763 lg:344.2215752544341 rubber:341.9416195642104 bulky:338.32947661848436 charged:310.1950363335703 charges:309.69783860330824 clip:308.95339596596745 edges:304.0765541468515 slim:302.6757714505652 chargers:301.54137555976126 mobile:287.6576775548604 sim:287.2323903857471 sprint:286.3855475942815 kickstand:281.34040509678954 iphones:272.2642707333448 scratches:269.88023042209375 perfectly:269.459576225217 ear:257.8778577338444 drop:247.73777584255163 tpu:240.43682219370976 cracked:239.98781208233012 rubberized:235.2179406387715 spigen:218.71489262276762 holster:216.91854859037926 smartphone:214.89161214922308 broke:214.54432087550174 texting:214.27510604967094 unlocked:213.80157041369344 plastic:211.41510087717893 defender:208.6174471427559 grip:207.0044284193688 zagg:206.0495268969946 button:205.51180024513644 lifeproof:205.20765048905855 reading:204.9818397312374 cellphone:203.259494842172 usb:200.05220051037549 characters:195.00630113915574 ports:190.0874501695604
Pet_Supplie cat:4462.796540929926 cats:4132.314348873361 pet:1783.2097955704469 litter:1731.7759634110741 puppy:1643.5350097963667 vet:1565.7257995591053 collar:1419.6198553443553 leash:1412.089193384854 treats:1260.5105239715688 chew:1049.5690764525514 lab:943.1409836078077 fleas:890.2213870810892 food:792.0117701090447 chewed:670.789962887313 terrier:618.6264094233687 barking:582.9473786991475 tank:506.8973254901984 chewer:502.6842135362619 crate:501.65710685081785 retriever:478.775743355119 kitten:473.266461921788 paw:472.19612501101267 aquarium:450.55397734860486 bulldog:443.16225106077525 chihuahua:443.16225106077525 poodle:443.16225106077525 petsmart:439.84310656604737 spaniel:439.84310656604737 collars:430.7166417008175 toys:421.06656402263627 pup:412.46754067339583 doggy:386.01872082250816 catnip:383.11941309537445 kibble:377.00359408239063 petco:377.00359408239063 chewing:345.6643175401907 fountain:345.6643175401907 puppies:344.41979434020163 urine:334.7412841791511 kitty:334.2375474589021 bowl:332.13901187860654 cage:331.314926540824 kennel:329.8268961273502 flea:327.7186567070508 leashes:321.43787346284546 chews:319.2504982018622 corgi:314.1656760246062 litterbox:314.1656760246062 coat:311.27972959019894 harness:309.0600368288288 pom:303.2395077660558 husky:291.0145103430089 shepherd:287.37987485785914 gallon:285.1513643172138 poop:279.9349559538351 clumping:279.76752452402013 loves:279.15841366856876 feeder:278.9632188441687 kitties:274.84589805736766 yorkie:274.84589805736766 kong:264.1365407418663 frisbee:260.1439108113516 pomeranian:260.1439108113516 kittens:258.5229824220322 bichon:251.32935233201206 furminator:251.32935233201206 orijen:251.32935233201206 petsafe:251.32935233201206 rottweiler:251.32935233201206 shiba:251.32935233201206 scooping:243.42967306783825 treat:241.91452556562777 pound:240.15240053998548 fur:232.17636745438097 doggie:230.43810418576186
Movies_and_TV dvd:8746.742991979037 acting:5158.798795314169 movies:5037.150181578703 watch:4310.1744762011085 films:3688.723785173213 actors:3618.847082164585 watching:3531.3531154879447 watched:3021.988177820571 episodes:2346.67830684171 season:2187.31615172814 cast:1840.885442321501 show:1714.8067480917684 director:1680.732685052332 episode:1638.6267788056489 actor:1612.9315013133694 comedy:1523.093534522489 scenes:1380.5426224067382 seasons:1321.4840231262756 flick:1192.9471529836528 script:1155.7429239276357 vhs:1086.5872204606687 scene:1073.8419054869055 video:1041.327267264915 funny:911.7109218597495 performances:893.1187226407092 dvds:864.4544698856937 documentary:862.0647465359782 blu:845.694269113099 extras:842.3993049608312 subtitles:837.949941841896 role:825.336190951711 viewer:786.4747898966939 viewers:767.7431608935601 effects:746.2878856375419 cinematography:674.6233582948605 ray:660.9030461514549 classic:655.1916874929406 animation:645.028801806756 footage:640.0933086442836 actress:622.5631014265314 filmed:616.9325626894627 special:612.0464110556603 horror:604.8284731247462 action:594.5247195379927 cinema:551.9261067934248 hollywood:545.2179939703032 tv:544.3310786807766 production:522.9357170334425 roles:511.74137121534613 aired:492.892512702568 remake:481.5715850524839 nudity:461.7905111089957 viewing:421.84933112229623 cgi:421.6907888372034 animated:420.0847507936355 shows:416.77817687021013 theatrical:414.5143770044297 television:399.2055631723159 anime:391.63470338814705 performance:384.2290994266615 plot:384.1806028661414 acted:377.2104251346348 rent:375.51459870184516 disc:374.95762444287953 series:368.12631011055026 screenplay:367.6626116980091 released:367.02998146284875 hilarious:364.69772046829166 laughs:361.78296352723225 rented:361.6716599821412 directed:359.1717741932039 played:354.0532145914092 casting:353.4701481575369 entertainment:350.9262649763598 disney:347.0408445354755
Baby diaper:2429.7403115072902 crib:2411.4696344948748 newborn:1292.0073698880537 seat:1260.4466110602973 pacifiers:1206.4343275012334 carseat:1191.0215686394013 sippy:1171.173348402516 pacifier:1105.9345674193123 nipple:1049.249885450171 diapers:996.1845009191934 britax:940.4892254976143 strollers:935.7670422052419 infant:923.4099821443248 medela:855.9647060352887 graco:850.6865180469032 babies:802.3882522007374 avent:765.608152744798 swaddle:765.608152744798 gate:755.2347875991514 teething:748.5594567503487 teether:680.5319462167581 toddler:634.3393846434815 son:514.3490933279268 highchair:510.386009154223 nursery:499.79428603238443 daughter:497.3941992294572 naps:492.2451032742443 breast:472.9113510822339 bassinet:460.03943209515376 potty:446.34358428488844 tub:441.37996370040725 boppy:435.7665140017469 mam:435.7665140017469 swaddling:425.3162784554125 blanket:415.7605565241346 playtex:412.646443351679 latch:405.4483005373041 bath:397.51506390675115 nipples:396.9349610980866 bottles:395.7462057889199 recline:379.8047942076662 swaddled:379.8047942076662 reclined:352.76989464578253 diapering:340.2487062020367 nuk:340.2487062020367 prefolds:340.2487062020367 soothie:340.2487062020367 teethers:340.2487062020367 wubbanub:340.2487062020367 feeding:339.5712084229493 blankets:334.50712580165526 breastfeeding:317.95992559992453 bib:301.4653506180222 carrier:300.98161842196686 toys:283.4682727501194 months:279.44069877326854 month:274.38087855577174 evenflo:270.6046682092817 outgrew:262.0956385149684 blankie:255.18329231194858 breastfed:255.18329231194858 carseats:255.18329231194858 chicco:255.18329231194858 colicky:255.18329231194858 prefold:255.18329231194858 sleepsacks:255.18329231194858 snugride:255.18329231194858 milk:237.14595983805668 convertible:237.05175844906736 rattle:236.3536450446591 tray:229.65831196476606 burp:224.17919503626678 munchkin:224.17919503626678 chair:223.0348921515451 bottle:215.87435451888402
Tools_and_Home_Improvement flashlight:1538.547970994864 bulb:1267.9313191886938 tool:1189.5819218124877 light:1018.1890059886341 flashlights:1009.9315621593369 dewalt:1000.3764729990004 faucet:899.8687525507257 drill:860.7394311581522 tools:832.8573155303754 bright:816.4770274462828 lights:775.341853356387 fixture:656.0620226526204 batteries:547.1101414538286 thermostat:541.5076430168848 nailer:519.9711559443813 dimmer:471.0880120115084 lumen:440.51742083362336 miter:399.3393401422877 dremel:367.78424882232 cfl:359.40084630306364 beam:357.9955388088144 lamps:357.1840653958403 blades:340.66871397776026 led:331.48209877758444 makita:329.46573650551267 sander:321.6671419153311 leatherman:319.4633658611281 blade:310.96831480576276 brighter:308.0670297077127 switch:299.6205782452197 pliers:293.9071594713697 installed:289.6154258675967 dimmable:282.1958413263658 incandescent:276.54755967377207 strobe:269.4574172776099 wall:265.7649666121716 halogen:265.07899572476447 sink:261.04598563223027 bosch:258.5222853997983 lumens:252.38679078322482 shower:249.96744202889286 volt:247.64023622490757 monoxide:242.84209275460364 fixtures:242.16092760295027 ridgid:239.59144501484317 sockets:236.7065359916624 ceiling:235.99487266048865 fluorescent:228.00208513320408 screws:216.24091376741242 dusk:214.31499260116937 watt:213.95112422626318 maglite:207.68563831064412 garage:207.36623204352236 depot:201.95111473978977 nailers:199.65700453335896 showerhead:199.65700453335896 streamlight:199.65700453335896 wrench:195.84326534860458 chandelier:191.4982867459689 installation:190.0142018106339 heater:187.5852350667425 screw:187.40479992242538 bathroom:182.18749997390847 contractor:181.18953371177332 cordless:180.58350389104788 lithium:177.59663603245468 bits:176.762053897511 milwaukee:175.77044269338796 remodel:172.8345950979679 hose:170.02749924712404 door:165.7612080467624 screwdriver:165.0218202449358 lathe:164.7203288009527 replace:161.47103516544857 bidet:159.72357729489363
Grocery_and_Gourmet_Food flavors:2104.380375336627 snack:2070.358999580278 delicious:1741.6780584465223 tasting:1740.7145563782717 tea:1693.1704555543004 tastes:1664.2852352380523 chocolate:1609.9985178309346 flavored:1420.7523640330223 sugar:1365.634127775429 tasted:1054.619936241518 teas:944.7654424824934 drink:943.48468473025 organic:934.8176067390827 coffees:875.5591258791943 sauce:856.7516500427226 salty:837.7395312809903 butter:805.9957113523401 gluten:786.8339110370358 tasty:756.5233688087118 flavorful:709.2061895347061 peanut:685.2281375729144 sweetener:684.4198693250094 milk:682.0094010943559 spicy:679.1601075170908 salt:672.8455205901099 cocoa:666.4371424506602 candies:665.1916064926287 coconut:661.7321113277233 keurig:651.8882617789621 corn:636.1703161309046 cereal:636.0965047129672 creamy:635.4492341372182 seasoning:603.9234935706139 aroma:599.5839902999597 eat:599.2099877140251 cinnamon:592.0944246290685 crunchy:592.0944246290685 bitter:589.8609606071241 cookies:577.745194463488 sodium:570.9001898378162 almonds:569.186656488311 texture:566.7034868312472 grocery:541.2291797232739 cup:540.600562648367 chewy:526.2353477457181 crackers:522.579874038725 yummy:510.49908849514986 rice:509.8246334684492 oatmeal:491.1511556549238 starbucks:462.5451880268734 drinker:456.56488333641653 breakfast:456.3466055863701 aftertaste:449.5901336873653 calories:447.89455958408445 cups:424.66471227619024 candy:414.4367248848823 healthy:411.3743620524183 fruit:407.2457019208919 cereals:399.0744533494874 decaf:399.0744533494874 caramel:391.95545841232246 flour:386.7558686436589 hazelnut:379.43369952650795 sweetened:379.43369952650795 roast:373.9287004603734 chocolates:371.5739003432531 iced:360.9292602395254 pack:358.85476275785027 tazo:358.69499643418993 granola:351.9136281918112 syrup:346.05797482113405 stevia:343.52200114103533 flavoring:343.496959756098 vanilla:337.30233979941573 caffeine:326.8200046044579
Health_and_Personal_Care shaver:1271.1139983059638 razor:1130.637683624315 shaving:1099.103470991899 pills:1020.4009656274096 protein:842.8941187906601 supplements:791.194841356254 vitamin:758.6127237582966 pill:674.8150681594689 vitamins:652.3571222625764 capsules:626.1988662289626 supplement:579.5060392194339 trimmer:531.3889799318866 deodorant:503.36746033042283 taking:484.153526036166 stomach:425.09729868186764 toothbrush:417.07573627731637 gillette:408.5575963306764 norelco:407.04170551755504 sonicare:407.04170551755504 razors:374.8223387420996 garcinia:356.1524544164903 bottle:352.60231399842553 smell:330.900601636264 appetite:315.77726442400706 powder:309.8938480470068 brace:306.0793285894365 muscle:294.0264100341694 shaves:288.39176244456416 ketones:279.8234201788501 dentist:273.9165699666432 energy:261.8735544485778 dosage:258.24508242062427 sinus:258.24508242062427 cambogia:254.38169997839245 oil:240.24433772309908 products:238.1302804198719 tastes:237.9725383402465 sore:236.7558556409819 beard:230.12836141799662 shavers:229.44416405372968 creatine:228.94062534302492 pain:228.67858321598433 braun:227.40451679336454 hairs:222.3277419051782 teeth:218.16374607461682 relief:213.7216348987914 jittery:208.49288585476287 whey:208.49288585476287 calcium:205.9738508502327 irritation:204.13161933820234 doctor:198.17780478343613 scent:197.8747851970541 results:197.32316015000544 diet:196.2527113808506 brush:193.3156670563489 stains:189.10434591343446 oral:187.75450157261344 rash:186.72115040169564 stubble:179.1177464660783 odor:177.22697445872336 cravings:176.1239699754493 swelling:176.04007572031338 oils:175.95250838331376 blades:174.65082039332788 weeks:173.11195282318212 swallow:164.94740480083468 lather:162.56793145221874 batteries:162.34092151802142 massage:160.93802221854716 clean:160.6002769156839 smells:160.0754481356427 vibrator:159.61961038450846 scale:159.4080741091429 weight:159.1783655222308 condoms:154.05957513259673
